nombre comercial,nombre,apellido,email,telefono,email de contacto,nombre de contacto,apellido de contacto,telefono de contacto,cargo,direccion,ciudad,codigo postal,pais,provincia
"Loera Caldera, Vega Jaime y Viera Zavala Asociados",Elena,Valenzuela Urías,Elena_ValenzuelaUrias35+c11@hotmail.com,933 907 788,Norma.DelatorreVelasquez86+p11@gmail.com,Norma,Delatorre Velásquez,900976361,Coordinador de Cuentas Futuro,Muelle Sergi 43,La Coruña,22683,Perú,
Ferrer Santacruz S.L.,Federico,Montaño Lucero,Federico_MontanoLucero+c12@hotmail.com,992.000.530,Sancho.AcevedoMoreno91+p12@yahoo.com,Sancho,Acevedo Moreno,996.726.031,Consultor de Implementación International,Glorieta Rubén 8,Jerez de la Frontera,19139,Argentina,Santa Fe
Avilés Villalpando y Longoria Verdugo,Guadalupe,Valladares Matos,Guadalupe_ValladaresMatos+c13@hotmail.com,929.272.053,Roser_ChapaCasillas+p13@yahoo.com,Roser,Chapa Casillas,928 970 818,Administrador de Respuesta Nacional,Bajada María de los Ángeles Amador Cisneros s/n.,Lugo,81585,Perú,
Murillo Barela Garay Cortés Hermanos,Roberto,Solís Montéz,Roberto.SolisMontez82+c14@hotmail.com,912 891 221,Carmen_HurtadoGrijalva+p14@hotmail.com,Carmen,Hurtado Grijalva,962-602-903,Planificador de División Adelante,Travesía Marcos 17,Jaén,56678,Argentina,Córdoba
Terrazas Peña y de Anda Mora,Jorge Luis,Pulido Arce,JorgeLuis_PulidoArce+c15@gmail.com,932-281-394,Gloria_LiraUrias+p15@yahoo.com,Gloria,Lira Urías,950 896 138,Coordinador de División Heredado,Jardines Cristián s/n.,Murcia,98608,Chile,
"Irizarry Márquez, Castillo Valencia y Rocha Huerta Asociados",Salvador,Rocha Madrid,Salvador.RochaMadrid+c16@hotmail.com,925 326 157,Daniela_CanalesValentin+p16@gmail.com,Daniela,Canales Valentín,968284477,Agente de Integración Director,"Lado Teodoro Quintana Portillo, 33",Baracaldo,86422,Perú,
Olvera Lebrón e Hijos,Gloria,Mena Bravo,Gloria.MenaBravo63+c17@hotmail.com,960811714,Carlos_EspinosadelosMonterosPuente+p17@yahoo.com,Carlos,Espinosa de los Monteros Puente,953 588 231,Estratega de Soluciones Inversor,"Edificio Pablo Villarreal Alba, 23",San Sebastián,11146,España,Sevilla
"Almonte Narváez, Pérez Carrión y Agosto Tamayo Asociados",Lorenzo,Moreno Godoy,Lorenzo.MorenoGodoy+c18@yahoo.com,979.003.374,Salvador.BravoBriseno+p18@yahoo.com,Salvador,Bravo Briseño,992.721.689,Consultor de Optimización Gerente,Mercado Josefina Durán Bernal 7,El Prat de LLobregat,34327,Perú,
Ávalos Ornelas Prado Fierro e Hijos,José Luis,Jaramillo Monroy,JoseLuis.JaramilloMonroy66+c19@hotmail.com,986.395.689,Mariano_MatiasRosas23+p19@hotmail.com,Mariano,Matías Rosas,931.385.183,Director de Datos Inversor,Pasaje Iván Cazares Alba 26,Mérida,15649,España,Barcelona
"Girón Mateo, Samaniego Barrera y Arriaga Delatorre Asociados",Irene,Rentería Lira,Irene.RenteriaLira+c20@hotmail.com,942 813 945,Jennifer.BustamanteQuintana+p20@gmail.com,Jennifer,Bustamante Quintana,926.202.887,Asociado de Operaciones Jefe,Prolongación Joaquín Sedillo Mesa 79,Huelva,98424,Perú,
Miranda Almanza Elizondo Cárdenas S.A.,Ramiro,Pizarro Ochoa,Ramiro_PizarroOchoa64+c21@hotmail.com,918837921,Carlos_RiosTrevino+p21@hotmail.com,Carlos,Ríos Treviño,910 395 637,Director de Mercados Humano,"Manzana Elisa, 46",Dos Hermanas,02403,México,Jalisco
Almanza Limón Sevilla Villalobos Hermanos,Miguel Ángel,Atencio Aguirre,MiguelAngel.AtencioAguirre+c22@hotmail.com,992 460 867,Elisa.DavilaValdivia72+p22@yahoo.com,Elisa,Dávila Valdivia,909718731,Consultor de Programa Humano,"Caserio Raúl, 9",San Fernando,33201,Chile,
Hernández Montalvo Cervántez Martínez e Hijos,Rubén,Sevilla Rosas,Ruben.SevillaRosas+c23@hotmail.com,946941699,Federico.TrujilloPineda+p23@hotmail.com,Federico,Trujillo Pineda,917-724-932,Planificador de Optimización Jefe,"Puente Manuela, 21",Badajoz,17343,Perú,
"Guajardo Dávila, Lugo Paz y Muro Serna Asociados",Fernando,Chacón Rico,Fernando.ChaconRico+c24@yahoo.com,959530128,Lorenzo_FonsecaOlivo4+p24@yahoo.com,Lorenzo,Fonseca Olivo,903.863.793,Ingeniero de Mercados Interno,"Mercado José Emilio Armendáriz Corona, 7",Orihuela,66436,Uruguay,
Ramírez Cortéz y Merino Angulo,Rodrigo,Valdés Laboy,Rodrigo.ValdesLaboy28+c25@gmail.com,980 484 641,Rocio_TorrezZambrano+p25@gmail.com,Rocío,Tórrez Zambrano,940.922.151,Arquitecto de Marca Cliente,"Arroyo Lucía Briones Serrano, 24",Arrecife,36650,Chile,
